3室2厅,123,绿城深蓝公寓,"高新区-智慧园-腊梅路,近创苑路",255,20598
4室2厅,161,华城花园,高新区-一品广场-清水桥路595号,425,26398
6室3厅,411,江南一品,高新区-一品广场-杨木碶路,940,22871
4室2厅,139,万科东晟府,高新区-软件研发园-院士路,482,34676
2室2厅,88,银珠明园南区,高新区-港隆时代广场-达升路306号,190,21591
2室2厅,37,高新宝龙广场,"高新区-软件研发园-创苑路,近扬帆路",65,17568
3室2厅,123,绿城深蓝公寓,"高新区-智慧园-腊梅路,近创苑路",255,20598
3室1厅,101,东和雅苑,高新区-一品广场-扬帆路2199,190,18812
2室1厅,89,皇冠花园二期,高新区-一品广场-创苑路468号,260,29213
3室2厅,112,九五花园,高新区-一品广场-杨木碶路,295,26339
4室2厅,136,绿城深蓝公寓,"高新区-智慧园-腊梅路,近创苑路",250,18382
2室1厅,55,名悦公馆,高新区-一品广场-清水桥路599号,63,11455
4室2厅,142,高新宝龙广场,"高新区-软件研发园-创苑路,近扬帆路",201,14155
2室2厅,46,高新宝龙广场,"高新区-软件研发园-创苑路,近扬帆路",90,19565
2室1厅,56,名悦公馆,高新区-一品广场-清水桥路599号,65,11607
4室2厅,161,华城花园,高新区-一品广场-清水桥路595号,425,26398
3室2厅,111,九五花园,高新区-一品广场-杨木碶路,298,26847
2室2厅,46,高新宝龙广场,"高新区-软件研发园-创苑路,近扬帆路",89,19348
4室2厅,126,宁兴御府,高新区-港隆时代广场-清水桥路393号,440,34921
3室2厅,98,高新宝龙广场,"高新区-软件研发园-创苑路,近扬帆路",120,12195
3室2厅,123,绿城深蓝公寓,"高新区-智慧园-腊梅路,近创苑路",240,19512
2室2厅,45,和美城,高新区-一品广场-杨木碶路666号,62,13778
4室2厅,126,万科东晟府,高新区-软件研发园-院士路,400,31746
3室2厅,114,齐和家园,高新区-智慧园-玉兰路61号,249,21654
2室1厅,70,东和雅苑,高新区-一品广场-扬帆路2199,126,18000
3室2厅,104,齐和家园,高新区-智慧园-玉兰路61号,215,20673
2室1厅,67,涨浦景苑,高新区-一品广场-清水桥路,157,23433
3室2厅,114,齐和家园,高新区-智慧园-玉兰路61号,255,22368
3室2厅,123,绿城深蓝公寓,"高新区-智慧园-腊梅路,近创苑路",240,19512
2室2厅,79,涨馨苑,"高新区-智慧园-丹桂路,近新舟路",168,21108
3室2厅,114,齐和家园,高新区-智慧园-玉兰路61号,252,22105
3室2厅,90,奥丽赛凤凰水岸,高新区-智慧园-丹桂路249号,260,28698
2室2厅,87,银珠明园南区,高新区-港隆时代广场-达升路306号,205,23490
2室1厅,69,涨馨苑,"高新区-智慧园-丹桂路,近新舟路",160,23188
4室2厅,161,华城花园,高新区-一品广场-清水桥路595号,425,26304
4室2厅,139,万科东晟府,高新区-软件研发园-院士路,482,34676
